"name","cpf","birthdate","email","password","role","cidade","estado","rua","numero","cep"
"Beatriz Ferraz","12340687969","2002-11-20","beatriz@email.com","beatriz123","gerente","Peabiru","PR","Saída para Araruna","188","87250000"
"Deborah Ferraz Pontes","12340687969","2008-05-06","ferrazpontesdeborah@gmail.com","deborah123","gerente","Peabiru","PR","Arthur Mariot","188","87250000"
"Deh Ferraz Pontes","45576787444","0999-09-09","deborah@gmail.com","oi","cliente","Peabiru","PR","Saída para Araruna","188","87250000"
"maria","38838888888","1111-11-11","maria@gmail.com","maria123","cliente","campo mourão","PR","oi","1","22777788"
"João Arruda","83882902000","275760-03-09","joao@gmail.com","oi","cliente","Peabiru","PR","Saída para Araruna","188","87250000"
"panda","48838988829","2999-09-09","panda@gmail.com","panda","cliente","Peabiru","PR","Saída para Araruna","188","87250000"
"mf","11122373737","6667-06-06","mf@gmail.com","mf123","cliente","Peabiru","PR","Rua Arthur Mariot","188","37377373"
"OII","40404948484","0333-03-31","OIII@GMAIL.COM","123","cliente","Peabiru","PR","Saída para Araruna","188","87250000"
"eita","22828282828","275760-09-02","eita@gmail.com","eita","cliente","Peabiru","PR","Arthur Mariot","188","87250000"
"Deborah Ferraz Pontes","12340687969","2008-05-06","deborah@pixelpeach.com","123","gerente","Peabiru","PR","Arthur Mariot","188","87250000"
"Rebeca","23782738327","2009-02-20","rebeca@gmail.com","123","cliente","campo mourão","PR","Sonhasso","608","87250000"
"kaio","67768888888","9999-09-09","kaio@gmail.com","kaio123","cliente","Peabiru","PR","Arthur Mariot","188","87250000"
"Kaio Mangolin Fernandes","72721878727","2009-08-10","kaio@pixelpeach.com","kaio","gerente","Corumbatai do Sul","PR","tocantins","103","87250000"
